,File Name,Diversed_Key_words,Simple_Key_words
0,Dynamics 365 FDD_Cust-18_Print Binning tickets v0.3.docx,"[('general labels maximum', 0.3963), ('functional design described', 0.4001), ('description mapping table', 0.4009), ('labels employee user', 0.4043), ('work id label', 0.4052), ('label table new', 0.4054), ('document functional design', 0.4222), ('overall functional design', 0.4342), ('code label supplier', 0.4408), ('supplier code label', 0.4513)]","[('labels', 0.3698), ('label', 0.3629), ('functional', 0.3161), ('daimler', 0.3042), ('sql', 0.3002), ('table', 0.283), ('customisation', 0.283), ('design', 0.282), ('relabeled', 0.2802), ('abbreviations', 0.2757)]"
1,Dynamics 365 FDD_Cust-14 Packing slip enhancements V0.2.docx,"[('inquiries existing ssrs', 0.3685), ('design document mcs', 0.3703), ('fdd design audience', 0.3712), ('devops ssrs microsoft', 0.3782), ('report format available', 0.3782), ('report printed nf', 0.3796), ('description design business', 0.3817), ('requirements packing warehouse', 0.3833), ('packing warehouse daimler', 0.384), ('functional design change', 0.4199)]","[('ssis', 0.3567), ('ssrs', 0.3492), ('sql', 0.3169), ('fdds', 0.315), ('reports', 0.3077), ('daimler', 0.3059), ('abbreviations', 0.3031), ('functional', 0.299), ('fdd', 0.2968), ('tables', 0.2919)]"
2,Dynamics 365 FDD_Cust-02 Customer enhancements_v1.2 (2).docx,"[('customer data cbfc', 0.383), ('customer creation enrichment', 0.3948), ('document functional design', 0.3969), ('data customer master', 0.3983), ('functional design implement', 0.4034), ('daimler data nr', 0.4037), ('fdd design audience', 0.4152), ('server table fdd', 0.4159), ('master data daimler', 0.4451), ('summary functional design', 0.4626)]","[('fdd', 0.355), ('daimler', 0.3498), ('functional', 0.3447), ('sql', 0.3402), ('ssis', 0.3217), ('table', 0.3111), ('excel', 0.2944), ('design', 0.2878), ('revised', 0.2845), ('iddbraif05', 0.2819)]"
3,Dynamics 365 FDD_Cust-01 Product enhancements_v1.6 (1).docx,"[('ooo fdd design', 0.4102), ('identified daimler microsoft', 0.4139), ('daimler responsible performance', 0.4181), ('enhancements prepared daimler', 0.4185), ('functional design implement', 0.4214), ('fdd design audience', 0.4413), ('functional design document', 0.4432), ('requirements daimler multiple', 0.4446), ('incorporated comments daimler', 0.4528), ('summary functional design', 0.4679)]","[('daimler', 0.4398), ('functional', 0.3297), ('fdd', 0.329), ('builder', 0.3256), ('design', 0.318), ('ssis', 0.3166), ('designer', 0.3166), ('rows', 0.3144), ('sql', 0.2999), ('modifications', 0.2961)]"
4,Dynamics 365 FDD_Cust-36 Nota Fiscal on D365 Invoice v1.2.docx,"[('customer daimler local', 0.3588), ('fdd functional design', 0.366), ('components use daimler', 0.3679), ('executive summary functional', 0.3787), ('daimler sms project', 0.381), ('design change invoice', 0.383), ('fdd design audience', 0.3892), ('invoice prepared daimler', 0.3908), ('purpose document functional', 0.3933), ('description design business', 0.3972)]","[('daimler', 0.3991), ('functional', 0.3696), ('builder', 0.334), ('design', 0.3174), ('functionality', 0.3095), ('sql', 0.2911), ('sap', 0.2881), ('designer', 0.284), ('table', 0.2806), ('invoicing', 0.28)]"
5,Dynamics 365 FDD_Cust_35 Print a shipment label for the master box (1).docx,"[('shipment table street', 0.4044), ('templates warehouse work', 0.4059), ('labels form warehouse', 0.4119), ('summary functional design', 0.412), ('functional design document', 0.4182), ('layouts 955 warehouse', 0.419), ('packing station abbreviations', 0.4234), ('customer shipment table', 0.4261), ('need select packing', 0.4353), ('tagged packing station', 0.4515)]","[('warehouse', 0.3284), ('logistics', 0.3185), ('functional', 0.3061), ('daimler', 0.3002), ('table', 0.2977), ('packing', 0.293), ('inventory', 0.2899), ('grid', 0.2848), ('mapping', 0.2791), ('printing', 0.2788)]"
6,Dynamics 365 FDD_Cust-11 Return Orders v2.1 (1).docx,"[('components use daimler', 0.3962), ('purpose document functional', 0.3963), ('support overall functional', 0.3967), ('report design specifically', 0.3974), ('table fdd design', 0.3977), ('information required daimler', 0.4091), ('fdd design audience', 0.4121), ('requirements identified daimler', 0.4371), ('document functional design', 0.4455), ('project daimler d365', 0.4771)]","[('daimler', 0.4497), ('functional', 0.3465), ('fdd', 0.3237), ('design', 0.295), ('modifications', 0.2898), ('list', 0.283), ('reports', 0.2777), ('functionality', 0.2774), ('ssis', 0.2741), ('views', 0.2668)]"
7,Dynamics 365 FDD_Cust-03 Vendor enhancements_v1.1.docx,"[('vendor supplier daimler', 0.3801), ('business requirements daimler', 0.3811), ('enhancements prepared daimler', 0.3851), ('table fdd design', 0.3922), ('data enriched cbfc', 0.394), ('vendor data enrichment', 0.3953), ('functional design document', 0.3964), ('tab called daimler', 0.4055), ('business performance list', 0.4097), ('summary functional design', 0.4213)]","[('daimler', 0.3771), ('sql', 0.3356), ('table', 0.3167), ('ssis', 0.3072), ('fdd', 0.3022), ('excel', 0.3018), ('functional', 0.2993), ('ssrs', 0.2829), ('revised', 0.2777), ('list', 0.2742)]"
8,Dynamics 365 FDD_Cust-25 Packing slip Enhancements v1.6.docx,"[('daimler project daimler', 0.3647), ('description design business', 0.3657), ('prepared daimler project', 0.3673), ('dealer management fdd', 0.376), ('fdd includes following', 0.3862), ('design 51 business', 0.4045), ('functional design capture', 0.4048), ('server table fdd', 0.4115), ('cust25 fdd nota', 0.4148), ('functional design document', 0.4164)]","[('fdd', 0.3963), ('daimler', 0.3563), ('ssis', 0.3158), ('sap', 0.3132), ('design', 0.3077), ('functional', 0.3014), ('custom', 0.2813), ('cbfc', 0.2712), ('customization', 0.2696), ('designer', 0.2657)]"
9,Dynamics 365 FDD_Cust-05 v0.2 (1).docx,"[('prepared daimler project', 0.3995), ('support overall functional', 0.4004), ('daimler tab read', 0.4018), ('fdd design audience', 0.4024), ('fdd cust05 sales', 0.4025), ('purpose document functional', 0.4111), ('table fdd design', 0.4162), ('functional design implement', 0.4215), ('daimler need additional', 0.426), ('new daimler tab', 0.4453)]","[('daimlers', 0.3942), ('daimler', 0.3772), ('functional', 0.3529), ('fdds', 0.3523), ('fdd', 0.3507), ('ssis', 0.3109), ('modifications', 0.3098), ('sql', 0.3027), ('builder', 0.3001), ('design', 0.299)]"
